id,Year,Month,Customer,Product,Units_Sold,Price_per_Unit,Revenue,Customer_Name,Month_Num
1,2019,Jan,Customer 103,Product D,93,22.42630503728556,2085.646368467557,Jojhua Moore,1.0
2,2019,Jan,Customer 72,Product E,21,19.82177084203147,416.25718768266086,Joseph Wilson,1.0
6,2019,Jan,Customer 192,Product D,21,63.66074341463307,1336.8756117072944,Matthew Harris,1.0
7,2019,Jan,Customer 314,Product E,89,32.66676831881398,2907.342380374444,Josenh Robinson,1.0
10,2019,Jan,Customer 131,Product E,51,69.62921616583907,3551.0900244577924,Matthew White,1.0
12,2019,Jan,Customer 14,Product B,9,6.5167939609203485,5865.114564828314,Jane White,1.0
15,2019,Jan,Customer 206,Product A,36,22.31242833986592,803.2474202351732,Daniel Taylor,1.0
17,2019,Jan,Customer 260,Product E,63,85.01705358652485,5356.074375951066,Ashley Johnson,1.0
19,2019,Jan,Customer 270,Product D,62,35.90638142251011,2226.1956481956267,Emily Jackson,1.0
20,2019,Jan,Customer 208,Product E,82,56.27075257696258,4614.201711310931,Megan Williams,1.0
21,2019,Jan,Customer 280,Product B,89,31.688778420301173,2820.3012794068045,Joshua Brown,1.0
23,2019,Jan,Customer 301,Product A,89,98.75425897704916,8789.129048957375,Sarah Williams,1.0
24,2019,Jan,Customer 344,Product A,8,5.524601126742228,44.19680901393782,Jane Smitk,1.0
27,2019,Jan,Customer 41,Product D,7,85.75366489003093,600.2756542302166,James Brown,1.0
28,2019,Jan,Customer 268,Product B,33,11.038043277172246,364.2554281466841,Daniel Japkson,1.0
31,2019,Jan,Customer 101,Product C,1,73.56430451066295,73.56430451066295,Daniel Miller,1.0
34,2019,Jan,Customer 352,Product A,52,58.511179337756445,3042.581325563335,John Martin,1.0
35,2019,Jan,Customer 388,Product E,23,62.41965103139264,1435.6519737220308,Megan Jackson,1.0
36,2019,Jan,Customer 143,Product C,29,26.73582572170413,775.3389459294199,John Taylor,1.0
40,2019,Jan,Customer 340,Product C,92,38.84829461731262,3574.043104792761,James Martinez,1.0
41,2019,Jan,Customer 190,Product A,1,26.65384044148446,26.65384044148446,Jane Wilson,1.0
44,2019,Jan,Customer 225,Product C,44,28.191924613538543,1240.444682995696,Rachel Garcia,1.0
50,2019,Jan,Customer 224,Product A,1,27.75837961336238,27.75837961336238,Joseph Johnson,1.0
52,2019,Jan,Customer 198,Product D,55,77.35386345622817,4254.462490092549,Emily Jackson,1.0
53,2019,Jan,Customer 123,Product A,38,39.93939760832906,1517.6971091165042,Sophia Anderson,1.0
58,2019,Jan,Customer 147,Product D,96,14.136772353684972,1357.1301459537572,wavid Martin,1.0
60,2019,Jan,Customer 338,Product A,11,37.40130334977456,411.4143368475201,John Jackson,1.0
62,2019,Jan,Customer 298,Product C,7,67.698484373247,473.889390612729,Michael Harris,1.0
63,2019,Jan,Customer 346,Product A,60,29.778771608888857,1786.7262965333314,Rachel Anderson,1.0
66,2019,Jan,Customer 208,Product C,20,89.27321030518614,1785.4642061037227,Joshua Brown,1.0
70,2019,Jan,Customer 349,Product B,82,51.133306590691525,4192.931140436705,Michael Wilson,1.0
71,2019,Jan,Customer 163,Product E,41,21.71289900434781,890.2288591782602,Matthew Martin,1.0
72,2019,Jan,Customer 68,Product A,14,35.912971325130435,502.7815985518261,Laurw Garcia,1.0
75,2019,Jan,Customer 375,Product E,51,89.74442274182576,4576.965559833114,Joseph Miller,1.0
79,2019,Jan,Customer 49,Product A,44,94.34356551352684,4151.116882595182,Joshua cobinson,1.0
80,2019,Jan,Customer 477,Product E,6,40.16507652426722,240.99045914560327,Sophia Taylor,1.0
81,2019,Jan,Customer 233,Product E,24,36.4212789436988,874.1106946487712,Hannah Smlth,1.0
82,2019,Jan,Customer 302,Product E,95,96.543897823479,9171.670293230509,Emily Jones,1.0
93,2019,Feb,Customer 494,Product D,87,7.623593328001947,663.2526195361694,Hannah Jones,2.0
96,2019,Feb,Customer 190,Product E,22,61.12915975405602,1344.8415145892325,Jane Martin,2.0
98,2019,Feb,Customer 271,Product C,60,36.031867970623885,2161.912078237433,sessica Robinson,2.0
103,2019,Feb,Customer 120,Product C,92,75.68405108491596,6962.932699812269,Andrpw Smith,2.0
104,2019,Feb,Customer 346,Product E,90,96.45159939440288,8680.643945496258,Joseph Robinson,2.0
106,2019,Feb,Customer 58,Product B,1,47.02346182445492,47.02346182445492,Andrew Brown,2.0
109,2019,Feb,Customer 451,Product D,26,38.81740447186985,1009.252516268616,Ashley Tayljr,2.0
110,2019,Feb,Customer 485,Product A,29,16.02690084815704,464.7801245965542,Rachel Anderson,2.0
114,2019,Feb,Customer 254,Product E,23,9.565597798718205,220.0087493705187,Emily Martinez,2.0
115,2019,Feb,Customer 246,Product E,34,29.784894217462824,1012.686403393736,Rachel Jonei,2.0
117,2019,Feb,Customer 257,Product E,4,63.50586061704181,254.02344246816725,John Martin,2.0
118,2019,Feb,Customer 336,Product B,92,60.64868022097901,5579.678580330069,Andrew Martin,2.0
119,2019,Feb,Customer 475,Product D,24,69.33099252638327,1663.9438206331984,Sophia Smith,2.0
123,2019,Feb,Customer 397,Product D,95,40.839612906657706,3879.763226132482,Emily Jones,2.0
125,2019,Feb,Customer 90,Product E,26,69.75329855241503,1813.5857623627908,Joshua Davis,2.0
128,2019,Feb,Customer 420,Product A,21,96.92015239442352,2035.3232002828936,Andrew Martinez,2.0
129,2019,Feb,Customer 164,Product B,73,59.00942695624604,4307.688167805961,SarahsMoore,2.0
137,2019,Feb,Customer 76,Product A,71,95.89608408701336,6808.621970177948,Matthew Thomas,2.0
138,2019,Feb,Customer 223,Product D,83,51.83743748832147,4302.507311530682,Chris Jqckson,2.0
144,2019,Feb,Customer 235,Product C,18,97.02193467754282,1746.3948241957708,David Wilson,2.0
145,2019,Feb,Customer 9,Product B,58,63.7307160150448,3696.381528872598,John Smith,2.0
146,2019,Feb,Customer 253,Product E,40,11.912485604598384,476.4994241839354,Michael Wilson,2.0
155,2019,Feb,Customer 317,Product A,39,75.87426353021522,2959.0962776783936,James White,2.0
156,2019,Feb,Customer 461,Product D,62,43.02117482284236,2667.3128390162265,Michael Mamtinez,2.0
162,2019,Feb,Customer 402,Product A,49,71.09612545353863,3483.710147223393,Emily Smith,2.0
164,2019,Feb,Customer 144,Product A,75,31.69150301126188,2376.862725844641,Joseph Shith,2.0
168,2019,Mar,Customer 220,Product E,41,29.695236971154955,1217.5047158173531,Megan Davis,3.0
