id,Year,Month,Customer,Product,Units_Sold,Price_per_Unit,Revenue,Customer_Name,Month_Num
1,2019,Jan,Customer 103,Product D,93,22.42630503728556,2085.646368467557,Joshua Moore,1.0
2,2019,Jan,Customer 72,Product E,21,19.82177084203147,416.25718768266086,Joseph Wilson,1.0
3,2019,Jan,Customer 467,Product C,75,87.28673384861884,6546.505038646413,Hannah Harris,1.0
11,2019,Jan,Customer 329,Product B,4,94.50916679006102,378.03666716024406,Rachel Jackson,1.0
15,2019,Jan,Customer 206,Product A,36,22.31242833986592,803.2474202351732,Daniel Taylor,1.0
18,2019,Jan,Customer 44,Product B,74,90.00859829062664,6660.636273506371,Joseph cobinson,1.0
19,2019,Jan,Customer 270,Product D,62,35.90638142251011,2226.1956481956267,Emily Jackson,1.0
24,2019,Jan,Customer 344,Product A,8,5.524601126742228,44.19680901393782,Jane Smith,1.0
25,2019,Jan,Customer 139,Product C,81,72.57748551112175,5878.776326400862,Hannah Jackson,1.0
27,2019,Jan,Customer 41,Product D,7,85.75366489003093,600.2756542302166,James Brown,1.0
30,2019,Jan,Customer 214,Product C,35,49.86041789038519,1745.1146261634815,Emily Anderson,1.0
32,2019,Jan,Customer 255,Product C,9,72.5129745201498,652.6167706813482,Rachel Brown,1.0
38,2019,Jan,Customer 170,Product E,62,65.17335686849023,4040.7481258463945,Matthew Martin,1.0
40,2019,Jan,Customer 340,Product C,92,38.84829461731262,3574.043104792761,James Martinez,1.0
41,2019,Jan,Customer 190,Product A,1,26.65384044148446,26.65384044148446,Jane Wilson,1.0
46,2019,Jan,Customer 497,Product B,52,28.453225969667116,1479.56775042269,Hannah Martin,1.0
48,2019,Jan,Customer 113,Product A,59,62.9086117280902,3711.608091957322,Sophia Moore,1.0
50,2019,Jan,Customer 224,Product A,1,27.75837961336238,27.75837961336238,Joseph Johnson,1.0
51,2019,Jan,Customer 130,Product E,44,47.53940063444371,2091.733627915524,Jane Miller,1.0
