id,Year,Month,Customer,Product,Units_Sold,Price_per_Unit,Revenue,Customer_Name,Month_Num
11,2019,Jan,Customer 329,Product B,4,94.50916679006102,378.03666716024406,Rachel Jackson,1.0
13,2019,Jan,Customer 386,Product D,92,46.81448690526212,4306.932795284115,Sophia Miller,1.0
15,2019,Jan,Customer 206,Product A,36,22.31242833986592,803.2474202351732,Ddniel Taylor,1.0
19,2019,Jan,Customer 270,Product D,62,35.90638142251011,2226.1956481956267,Emily Jackson,1.0
20,2019,Jan,Customer 208,Product E,82,56.27075257696258,4614.201711310931,Megan Williams,1.0
26,2019,Jan,Customer 419,Product A,5,92.99858345876817,464.9929172938408,Laura Thompson,1.0
29,2019,Jan,Customer 407,Product E,99,61.17328983223408,6056.155693391173,Sophia Anderson,1.0
30,2019,Jan,Customer 214,Product C,35,49.86041789038519,1745.1146261634815,Emily Andersoj,1.0
32,2019,Jan,Customer 255,Product C,9,72.5129745201498,652.6167706813482,Rachel Brown,1.0
33,2019,Jan,Customer 346,Product B,77,24.16332422186264,1860.5759650834232,Jessica Martinvz,1.0
34,2019,Jan,Customer 352,Product A,52,58.511179337756445,3042.581325563335,John Martin,1.0
35,2019,Jan,Customer 388,Product E,23,62.41965103139264,1435.6519737220308,Megan Jackson,1.0
38,2019,Jan,Customer 170,Product E,62,65.17335686849023,4040.7481258463945,Matthew Martin,1.0
40,2019,Jan,Customer 340,Product C,92,38.84829461731262,3574.043104792761,James Martinez,1.0
41,2019,Jan,Customer 190,Product A,1,26.65384044148446,26.65384044148446,Jane Wilson,1.0
45,2019,Jan,Customer 315,Product A,52,39.54481222603293,2056.3302357537123,Joshua Jones,1.0
48,2019,Jan,Customer 113,Product A,59,62.9086117280902,3711.608091957322,Sophia Moqre,1.0
49,2019,Jan,Customer 130,Product D,54,8.139819625552096,439.5502597798132,Chris Thompson,1.0
50,2019,Jan,Customer 224,Product A,1,27.75837961336238,27.75837961336238,Joseph Johnson,1.0
51,2019,Jan,Customer 130,Product E,44,47.53940063444371,2091.733627915524,Jane Miller,1.0
54,2019,Jan,Customer 372,Product B,70,42.888322032232544,3002.182542256278,Michael Johnson,1.0
55,2019,Jan,Customer 240,Product A,73,35.474106172314904,2589.609750578988,Rachel Williams,1.0
57,2019,Jan,Customer 443,Product D,19,72.55920558161169,1378.6249060506225,Rachel Robinson,1.0
58,2019,Jan,Customer 147,Product D,96,14.136772353684972,1357.1301459537572,David Martin,1.0
