ID,YEAR,MONTH,CUSTOMER,PRODUCT,UNITS_SOLD,PRICE_PER_UNIT,REVENUE,MONTH_NUM,CUSTOMER_NAME,GENDER,COUNTRY,BIRTH_DATE,CATEGORY,SUPPLIER,STOCK_LEVEL,DISCOUNT_AVAILABLE
6,2019,Jan,192,Product D,21,63.66074341463307,1336.8756117072944,1.0,Chris Moore,M,USA,1996-05-16,Electronics,TechCorp,120,True
7,2019,Jan,314,Product E,89,32.66676831881398,2907.342380374444,1.0,John Davis,F,USA,1990-07-17,Home Appliances,HomeSolutions,85,False
9,2019,Jan,271,Product C,55,98.40693415164488,5412.3813783404685,1.0,Jessica Robinson,F,Canada,1981-10-01,Furniture,FurniStyle,45,True
11,2019,Jan,329,Product B,4,94.50916679006102,378.03666716024406,1.0,Rachel Jackson,F,Canada,1959-09-30,Office Supplies,OfficePlus,200,False
17,2019,Jan,260,Product E,63,85.01705358652485,5356.074375951066,1.0,Ashley Martin,M,Canada,1987-09-19,Home Appliances,HomeSolutions,85,False
19,2019,Jan,270,Product D,62,35.90638142251011,2226.1956481956267,1.0,Evily Jackson,F,USA,1991-05-09,Electronics,TechCorp,120,True
20,2019,Jan,208,Product E,82,56.27075257696258,4614.201711310931,1.0,Megan Williams,M,Canada,1973-09-30,Home Appliances,HomeSolutions,85,False
22,2019,Jan,380,Product E,41,33.14598304188783,1358.985304717401,1.0,John Moore,M,USA,1970-02-25,Home Appliances,HomeSolutions,85,False
23,2019,Jan,301,Product A,89,98.75425897704916,8789.129048957375,1.0,Sarah Williams,F,Canada,1979-06-30,Sports Equipment,ActiveGear,60,True
24,2019,Jan,344,Product A,8,5.524601126742228,44.19680901393782,1.0,Rachel Brown,F,Colombia,1993-11-27,Sports Equipment,ActiveGear,60,True
27,2019,Jan,41,Product D,7,85.75366489003093,600.2756542302166,1.0,Megan Moore,M,Mexico,1976-05-15,Electronics,TechCorp,120,True
28,2019,Jan,268,Product B,33,11.038043277172246,364.2554281466841,1.0,Daniel Jackson,M,USA,2003-05-10,Office Supplies,OfficePlus,200,False
31,2019,Jan,101,Product C,1,73.56430451066295,73.56430451066295,1.0,Daniel Miller,F,Mexico,1961-03-09,Furniture,FurniStyle,45,True
33,2019,Jan,346,Product B,77,24.16332422186264,1860.5759650834232,1.0,Jessica Martinez,F,Mexico,1958-11-14,Office Supplies,OfficePlus,200,False
35,2019,Jan,388,Product E,23,62.41965103139264,1435.6519737220308,1.0,David White,F,Colombia,1999-06-20,Home Appliances,HomeSolutions,85,False
38,2019,Jan,170,Product E,62,65.17335686849023,4040.7481258463945,1.0,Matthew Martin,F,Colombia,1981-08-29,Home Appliances,HomeSolutions,85,False
39,2019,Jan,134,Product D,28,25.75184153559919,721.0515629967773,1.0,Sophia White,M,Colombia,1963-05-28,Electronics,TechCorp,120,True
42,2019,Jan,446,Product A,77,86.76940540935263,6681.244216520153,1.0,Matthew Miller,M,Colombia,1975-10-26,Sports Equipment,ActiveGear,60,True
45,2019,Jan,315,Product A,52,39.54481222603293,2056.3302357537123,1.0,Joshua Jones,M,USA,1979-02-09,Sports Equipment,ActiveGear,60,True
47,2019,Jan,295,Product B,3,33.58343943259312,100.75031829777936,1.0,Joseph Jones,F,Colombia,1962-12-12,Office Supplies,OfficePlus,200,False
52,2019,Jan,198,Product D,55,77.35386345622817,4254.462490092549,1.0,Emily packson,M,Colombia,2000-03-21,Electronics,TechCorp,120,True
54,2019,Jan,372,Product B,70,42.888322032232544,3002.182542256278,1.0,Michael Johnson,F,Colombia,2004-05-28,Office Supplies,OfficePlus,200,False
55,2019,Jan,240,Product A,73,35.474106172314904,2589.609750578988,1.0,Rachel Williams,M,Colombia,1998-07-19,Sports Equipment,ActiveGear,60,True
59,2019,Jan,489,Product A,40,41.73985789855105,1669.5943159420422,1.0,Chris Johnson,M,Colombia,1960-04-10,Sports Equipment,ActiveGear,60,True
60,2019,Jan,338,Product A,11,37.40130334977456,411.4143368475201,1.0,John Jackson,F,Colombia,1995-06-01,Sports Equipment,ActiveGear,60,True
65,2019,Jan,9,Product A,99,71.53399384741327,7081.865390893914,1.0,Daniel Wilfon,F,Colombia,1983-07-14,Sports Equipment,ActiveGear,60,True
74,2019,Jan,176,Product D,59,39.93300129064618,2356.0470761481247,1.0,Rachel Garcia,M,Canada,2001-05-06,Electronics,TechCorp,120,True
76,2019,Jan,283,Product C,98,38.25744873099419,3749.229975637431,1.0,Joshua Wilson,F,USA,1992-10-20,Furniture,FurniStyle,45,True
79,2019,Jan,49,Product A,44,94.34356551352684,4151.116882595182,1.0,Daniel Martinez,M,USA,1958-04-26,Sports Equipment,ActiveGear,60,True
80,2019,Jan,477,Product E,6,40.16507652426722,240.99045914560327,1.0,Sophia Taylor,F,Mexico,1958-04-17,Home Appliances,HomeSolutions,85,False
81,2019,Jan,233,Product E,24,36.4212789436988,874.1106946487712,1.0,Hannaq Smith,M,USA,1978-11-18,Home Appliances,HomeSolutions,85,False
82,2019,Jan,302,Product E,95,96.543897823479,9171.670293230509,1.0,James Williams,M,Canada,1984-05-08,Home Appliances,HomeSolutions,85,False
83,2019,Jan,481,Product D,63,34.041216832282274,2144.596660433783,1.0,Daniel Harris,M,Colombia,2003-02-01,Electronics,TechCorp,120,True
87,2019,Feb,151,Product B,27,33.052605899799175,892.4203592945778,2.0,Ashley Jackson,M,Colombia,1965-07-30,Office Supplies,OfficePlus,200,False
88,2019,Feb,474,Product A,33,17.979026486992737,593.3078740707604,2.0,Hannah Smith,M,Canada,1963-02-25,Sports Equipment,ActiveGear,60,True
89,2019,Feb,246,Product E,42,81.8893097704588,3439.3510103592694,2.0,Joshua Martin,F,Canada,1981-09-16,Home Appliances,HomeSolutions,85,False
90,2019,Feb,355,Product B,25,63.09380253223965,1577.3450633059913,2.0,Hannah Taylor,F,Mexico,1987-07-25,Office Supplies,OfficePlus,200,False
94,2019,Feb,354,Product B,32,59.93661339463653,1917.971628628369,2.0,John Anderson,M,Colombia,1996-03-13,Office Supplies,OfficePlus,200,False
97,2019,Feb,342,Product A,52,8.689299770795204,451.8435880813506,2.0,Sarah Johnson,M,Colombia,1972-03-19,Sports Equipment,ActiveGear,60,True
98,2019,Feb,271,Product C,60,36.031867970623885,2161.912078237433,2.0,Jessica Robinson,F,Canada,1981-10-01,Furniture,FurniStyle,45,True
100,2019,Feb,5,Product D,6,9.909763511017731,59.45858106610639,2.0,Andrew Miller,F,Colombia,1987-01-04,Electronics,TechCorp,120,True
102,2019,Feb,144,Product E,30,8.901414092948201,267.04242278844606,2.0,Jane Robinson,F,USA,1966-11-08,Home Appliances,HomeSolutions,85,False
104,2019,Feb,346,Product E,90,96.45159939440288,8680.643945496258,2.0,Jessica Martinez,F,Mexico,1958-11-14,Home Appliances,HomeSolutions,85,False
105,2019,Feb,279,Product A,12,43.85052971935564,526.2063566322677,2.0,Matthew Thomas,M,Colombia,1984-04-25,Sports Equipment,ActiveGear,60,True
106,2019,Feb,58,Product B,1,47.02346182445492,47.02346182445492,2.0,Andrew Brown,M,Colombia,1970-12-08,Office Supplies,OfficePlus,200,False
110,2019,Feb,485,Product A,29,16.02690084815704,464.7801245965542,2.0,Rachel Anderson,M,Mexico,1968-08-04,Sports Equipment,ActiveGear,60,True
111,2019,Feb,69,Product A,94,86.26875548104569,8109.263015218295,2.0,Asfley White,F,Canada,1975-07-28,Sports Equipment,ActiveGear,60,True
115,2019,Feb,246,Product E,34,29.784894217462824,1012.686403393736,2.0,Joshua Martin,F,Canada,1981-09-16,Home Appliances,HomeSolutions,85,False
118,2019,Feb,336,Product B,92,60.64868022097901,5579.678580330069,2.0,Andrew Martin,M,Canada,1979-10-18,Office Supplies,OfficePlus,200,False
122,2019,Feb,417,Product B,43,23.60015780498316,1014.806785614276,2.0,Matthew Thomas,F,Mexico,1999-03-07,Office Supplies,OfficePlus,200,False
123,2019,Feb,397,Product D,95,40.839612906657706,3879.763226132482,2.0,EmilyuJones,M,Mexico,1978-05-08,Electronics,TechCorp,120,True
124,2019,Feb,253,Product C,35,36.97265041442902,1294.0427645050156,2.0,Michael Wilson,F,Colombia,1970-01-23,Furniture,FurniStyle,45,True
127,2019,Feb,114,Product E,75,88.35984128507003,6626.9880963802525,2.0,Megan hhomas,F,Canada,1976-08-24,Home Appliances,HomeSolutions,85,False
131,2019,Feb,466,Product A,96,37.37633632403669,3588.1282871075227,2.0,Jessica Williams,F,Canada,1992-09-26,Sports Equipment,ActiveGear,60,True
132,2019,Feb,190,Product E,12,45.75443260062674,549.053191207521,2.0,Jane Wilson,F,Colombia,1993-03-22,Home Appliances,HomeSolutions,85,False
133,2019,Feb,13,Product A,99,14.796767539413596,1464.879986401946,2.0,James Robinson,F,Canada,1971-12-04,Sports Equipment,ActiveGear,60,True
135,2019,Feb,217,Product E,59,14.49856428037702,855.4152925422443,2.0,Andrew Thompson,M,Canada,1984-11-29,Home Appliances,HomeSolutions,85,False
138,2019,Feb,223,Product D,83,51.83743748832147,4302.507311530682,2.0,Chris Jackson,F,Mexico,1967-08-22,Electronics,TechCorp,120,True
141,2019,Feb,151,Product A,39,13.664579789625584,532.9186117953977,2.0,Ashley Jackson,M,Colombia,1965-07-30,Sports Equipment,ActiveGear,60,True
142,2019,Feb,42,Product B,39,99.61346799288128,3884.9252517223695,2.0,Hannah Moore,F,Mexico,1983-10-12,Office Supplies,OfficePlus,200,False
146,2019,Feb,253,Product E,40,11.912485604598384,476.4994241839354,2.0,Michael Wilson,F,Colombia,1970-01-23,Home Appliances,HomeSolutions,85,False
148,2019,Feb,165,Product C,8,40.55572559683143,324.44580477465144,2.0,Ashley Smith,F,Colombia,1986-06-26,Furniture,FurniStyle,45,True
150,2019,Feb,217,Product E,4,38.27073343652979,153.08293374611915,2.0,Andrew Thompson,M,Canada,1984-11-29,Home Appliances,HomeSolutions,85,False
155,2019,Feb,317,Product A,39,75.87426353021522,2959.0962776783936,2.0,John Wilson,F,Mexico,1990-04-02,Sports Equipment,ActiveGear,60,True
158,2019,Feb,117,Product B,44,97.90056353165572,4307.624795392852,2.0,Joseph Smith,F,Mexico,1981-02-15,Office Supplies,OfficePlus,200,False
159,2019,Feb,173,Product E,47,89.65859580131675,4213.954002661887,2.0,Matthew Davis,F,USA,2003-01-05,Home Appliances,HomeSolutions,85,False
165,2019,Feb,224,Product D,24,63.91259679114599,1533.9023229875038,2.0,Joseph Johnson,M,Canada,1981-04-15,Electronics,TechCorp,120,True
