ID,YEAR,MONTH,CUSTOMER,PRODUCT,UNITS_SOLD,PRICE_PER_UNIT,REVENUE,MONTH_NUM,CUSTOMER_NAME,GENDER,COUNTRY,BIRTH_DATE,CATEGORY,SUPPLIER,STOCK_LEVEL,DISCOUNT_AVAILABLE
1,2019,Jan,103,Product D,93,22.42630503728556,2085.646368467557,1.0,Megun Johnson,F,USA,1977-04-08,Electronics,TechCorp,120,True
2,2019,Jan,72,Product E,21,19.82177084203147,416.25718768266086,1.0,Rachel Thomas,F,Mexico,1990-12-20,Home Appliances,HomeSolutions,85,False
6,2019,Jan,192,Product D,21,63.66074341463307,1336.8756117072944,1.0,Chris Moore,M,USA,1996-05-16,Electronics,TechCorp,120,True
7,2019,Jan,314,Product E,89,32.66676831881398,2907.342380374444,1.0,John Davis,F,USA,1990-07-17,Home Appliances,HomeSolutions,85,False
10,2019,Jan,131,Product E,51,69.62921616583907,3551.0900244577924,1.0,Matthew White,M,Canada,1980-03-03,Home Appliances,HomeSolutions,85,False
12,2019,Jan,14,Product B,9,6.5167939609203485,5865.114564828314,1.0,Jane White,M,Canada,1970-05-20,Office Supplies,OfficePlus,200,False
15,2019,Jan,206,Product A,36,22.31242833986592,803.2474202351732,1.0,Daniel Taylor,M,Mexico,1981-11-07,Sports Equipment,ActiveGear,60,True
17,2019,Jan,260,Product E,63,85.01705358652485,5356.074375951066,1.0,Ashley Martin,M,Canada,1987-09-19,Home Appliances,HomeSolutions,85,False
19,2019,Jan,270,Product D,62,35.90638142251011,2226.1956481956267,1.0,Evily Jackson,F,USA,1991-05-09,Electronics,TechCorp,120,True
20,2019,Jan,208,Product E,82,56.27075257696258,4614.201711310931,1.0,Megan Williams,M,Canada,1973-09-30,Home Appliances,HomeSolutions,85,False
21,2019,Jan,280,Product B,89,31.688778420301173,2820.3012794068045,1.0,Joshua Brown,M,USA,1995-03-22,Office Supplies,OfficePlus,200,False
23,2019,Jan,301,Product A,89,98.75425897704916,8789.129048957375,1.0,Sarah Williams,F,Canada,1979-06-30,Sports Equipment,ActiveGear,60,True
24,2019,Jan,344,Product A,8,5.524601126742228,44.19680901393782,1.0,Rachel Brown,F,Colombia,1993-11-27,Sports Equipment,ActiveGear,60,True
27,2019,Jan,41,Product D,7,85.75366489003093,600.2756542302166,1.0,Megan Moore,M,Mexico,1976-05-15,Electronics,TechCorp,120,True
28,2019,Jan,268,Product B,33,11.038043277172246,364.2554281466841,1.0,Daniel Jackson,M,USA,2003-05-10,Office Supplies,OfficePlus,200,False
31,2019,Jan,101,Product C,1,73.56430451066295,73.56430451066295,1.0,Daniel Miller,F,Mexico,1961-03-09,Furniture,FurniStyle,45,True
34,2019,Jan,352,Product A,52,58.511179337756445,3042.581325563335,1.0,John Martin,F,Mexico,1965-11-26,Sports Equipment,ActiveGear,60,True
35,2019,Jan,388,Product E,23,62.41965103139264,1435.6519737220308,1.0,David White,F,Colombia,1999-06-20,Home Appliances,HomeSolutions,85,False
36,2019,Jan,143,Product C,29,26.73582572170413,775.3389459294199,1.0,Hainah Davis,M,Colombia,1981-08-20,Furniture,FurniStyle,45,True
40,2019,Jan,340,Product C,92,38.84829461731262,3574.043104792761,1.0,James Martinez,M,Mexico,2002-06-29,Furniture,FurniStyle,45,True
41,2019,Jan,190,Product A,1,26.65384044148446,26.65384044148446,1.0,Jane Wilson,F,Colombia,1993-03-22,Sports Equipment,ActiveGear,60,True
