ID,YEAR,MONTH,CUSTOMER,PRODUCT,UNITS_SOLD,PRICE_PER_UNIT,REVENUE,MONTH_NUM,CUSTOMER_NAME,GENDER,COUNTRY,BIRTH_DATE,CATEGORY,SUPPLIER,STOCK_LEVEL,DISCOUNT_AVAILABLE
1,2019,Jan,103,Product D,93,22.42630503728556,2085.646368467557,1.0,Megun Johnson,F,USA,1977-04-08,Electronics,TechCorp,120,True
2,2019,Jan,72,Product E,21,19.82177084203147,416.25718768266086,1.0,Rachel Thomas,F,Mexico,1990-12-20,Home Appliances,HomeSolutions,85,False
3,2019,Jan,467,Product C,75,87.28673384861884,6546.505038646413,1.0,Hannah Harris,M,Colombia,1979-04-02,Furniture,FurniStyle,45,True
11,2019,Jan,329,Product B,4,94.50916679006102,378.03666716024406,1.0,Rachel Jackson,F,Canada,1959-09-30,Office Supplies,OfficePlus,200,False
15,2019,Jan,206,Product A,36,22.31242833986592,803.2474202351732,1.0,Daniel Taylor,M,Mexico,1981-11-07,Sports Equipment,ActiveGear,60,True
18,2019,Jan,44,Product B,74,90.00859829062664,6660.636273506371,1.0,Joseph Robirson,M,Mexico,2003-05-03,Office Supplies,OfficePlus,200,False
19,2019,Jan,270,Product D,62,35.90638142251011,2226.1956481956267,1.0,Evily Jackson,F,USA,1991-05-09,Electronics,TechCorp,120,True
24,2019,Jan,344,Product A,8,5.524601126742228,44.19680901393782,1.0,Rachel Brown,F,Colombia,1993-11-27,Sports Equipment,ActiveGear,60,True
25,2019,Jan,139,Product C,81,72.57748551112175,5878.776326400862,1.0,Megan Thompson,F,Colombia,1974-11-13,Furniture,FurniStyle,45,True
27,2019,Jan,41,Product D,7,85.75366489003093,600.2756542302166,1.0,Megan Moore,M,Mexico,1976-05-15,Electronics,TechCorp,120,True
30,2019,Jan,214,Product C,35,49.86041789038519,1745.1146261634815,1.0,Emily Anderson,M,Colombia,1991-01-20,Furniture,FurniStyle,45,True
32,2019,Jan,255,Product C,9,72.5129745201498,652.6167706813482,1.0,Rachel Brown,F,Mexico,1969-05-27,Furniture,FurniStyle,45,True
38,2019,Jan,170,Product E,62,65.17335686849023,4040.7481258463945,1.0,Matthew Martin,F,Colombia,1981-08-29,Home Appliances,HomeSolutions,85,False
40,2019,Jan,340,Product C,92,38.84829461731262,3574.043104792761,1.0,James Martinez,M,Mexico,2002-06-29,Furniture,FurniStyle,45,True
41,2019,Jan,190,Product A,1,26.65384044148446,26.65384044148446,1.0,Jane Wilson,F,Colombia,1993-03-22,Sports Equipment,ActiveGear,60,True
46,2019,Jan,497,Product B,52,28.45322596966712,1479.56775042269,1.0,Hannah Martin,F,Mexico,1982-08-10,Office Supplies,OfficePlus,200,False
48,2019,Jan,113,Product A,59,62.9086117280902,3711.608091957322,1.0,Sopyia Moore,M,USA,1972-05-21,Sports Equipment,ActiveGear,60,True
50,2019,Jan,224,Product A,1,27.75837961336238,27.75837961336238,1.0,Joseph Johnson,M,Canada,1981-04-15,Sports Equipment,ActiveGear,60,True
51,2019,Jan,130,Product E,44,47.53940063444371,2091.733627915524,1.0,Chris uhompson,M,Mexico,1963-06-17,Home Appliances,HomeSolutions,85,False
55,2019,Jan,240,Product A,73,35.474106172314904,2589.609750578988,1.0,Rachel Williams,M,Colombia,1998-07-19,Sports Equipment,ActiveGear,60,True
57,2019,Jan,443,Product D,19,72.55920558161169,1378.6249060506225,1.0,Jane Joneh,M,Canada,1999-02-11,Electronics,TechCorp,120,True
