ID,YEAR,MONTH,CUSTOMER,PRODUCT,UNITS_SOLD,PRICE_PER_UNIT,REVENUE,MONTH_NUM,CUSTOMER_NAME,GENDER,COUNTRY,BIRTH_DATE,CATEGORY,SUPPLIER,STOCK_LEVEL,DISCOUNT_AVAILABLE
11,2019,Jan,329,Product B,4,94.50916679006102,378.03666716024406,1.0,Rachel Jackson,F,Canada,1959-09-30,Office Supplies,OfficePlus,200,False
13,2019,Jan,386,Product D,92,46.81448690526212,4306.932795284115,1.0,Sophia Miller,M,Mexico,1979-09-12,Electronics,TechCorp,120,True
15,2019,Jan,206,Product A,36,22.31242833986592,803.2474202351732,1.0,Daniel Taylor,M,Mexico,1981-11-07,Sports Equipment,ActiveGear,60,True
19,2019,Jan,270,Product D,62,35.90638142251011,2226.1956481956267,1.0,Evily Jackson,F,USA,1991-05-09,Electronics,TechCorp,120,True
20,2019,Jan,208,Product E,82,56.27075257696258,4614.201711310931,1.0,Megan Williams,M,Canada,1973-09-30,Home Appliances,HomeSolutions,85,False
26,2019,Jan,419,Product A,5,92.99858345876817,464.9929172938408,1.0,Laura Thompson,F,Mexico,1999-07-06,Sports Equipment,ActiveGear,60,True
29,2019,Jan,407,Product E,99,61.17328983223408,6056.155693391173,1.0,Sophia ynderson,F,USA,1965-06-22,Home Appliances,HomeSolutions,85,False
30,2019,Jan,214,Product C,35,49.86041789038519,1745.1146261634815,1.0,Emily Anderson,M,Colombia,1991-01-20,Furniture,FurniStyle,45,True
32,2019,Jan,255,Product C,9,72.5129745201498,652.6167706813482,1.0,Rachel Brown,F,Mexico,1969-05-27,Furniture,FurniStyle,45,True
33,2019,Jan,346,Product B,77,24.16332422186264,1860.5759650834232,1.0,Jessica Martinez,F,Mexico,1958-11-14,Office Supplies,OfficePlus,200,False
34,2019,Jan,352,Product A,52,58.511179337756445,3042.581325563335,1.0,John Martin,F,Mexico,1965-11-26,Sports Equipment,ActiveGear,60,True
35,2019,Jan,388,Product E,23,62.41965103139264,1435.6519737220308,1.0,David White,F,Colombia,1999-06-20,Home Appliances,HomeSolutions,85,False
38,2019,Jan,170,Product E,62,65.17335686849023,4040.7481258463945,1.0,Matthew Martin,F,Colombia,1981-08-29,Home Appliances,HomeSolutions,85,False
40,2019,Jan,340,Product C,92,38.84829461731262,3574.043104792761,1.0,James Martinez,M,Mexico,2002-06-29,Furniture,FurniStyle,45,True
41,2019,Jan,190,Product A,1,26.65384044148446,26.65384044148446,1.0,Jane Wilson,F,Colombia,1993-03-22,Sports Equipment,ActiveGear,60,True
45,2019,Jan,315,Product A,52,39.54481222603293,2056.3302357537123,1.0,Joshua Jones,M,USA,1979-02-09,Sports Equipment,ActiveGear,60,True
48,2019,Jan,113,Product A,59,62.9086117280902,3711.608091957322,1.0,Sopyia Moore,M,USA,1972-05-21,Sports Equipment,ActiveGear,60,True
49,2019,Jan,130,Product D,54,8.139819625552096,439.5502597798132,1.0,Chris uhompson,M,Mexico,1963-06-17,Electronics,TechCorp,120,True
50,2019,Jan,224,Product A,1,27.75837961336238,27.75837961336238,1.0,Joseph Johnson,M,Canada,1981-04-15,Sports Equipment,ActiveGear,60,True
51,2019,Jan,130,Product E,44,47.53940063444371,2091.733627915524,1.0,Chris uhompson,M,Mexico,1963-06-17,Home Appliances,HomeSolutions,85,False
54,2019,Jan,372,Product B,70,42.888322032232544,3002.182542256278,1.0,Michael Johnson,F,Colombia,2004-05-28,Office Supplies,OfficePlus,200,False
55,2019,Jan,240,Product A,73,35.474106172314904,2589.609750578988,1.0,Rachel Williams,M,Colombia,1998-07-19,Sports Equipment,ActiveGear,60,True
57,2019,Jan,443,Product D,19,72.55920558161169,1378.6249060506225,1.0,Jane Joneh,M,Canada,1999-02-11,Electronics,TechCorp,120,True
58,2019,Jan,147,Product D,96,14.136772353684972,1357.1301459537572,1.0,David Martin,M,Canada,1985-09-19,Electronics,TechCorp,120,True
59,2019,Jan,489,Product A,40,41.73985789855105,1669.5943159420422,1.0,Chris Johnson,M,Colombia,1960-04-10,Sports Equipment,ActiveGear,60,True
60,2019,Jan,338,Product A,11,37.40130334977456,411.4143368475201,1.0,John Jackson,F,Colombia,1995-06-01,Sports Equipment,ActiveGear,60,True
62,2019,Jan,298,Product C,7,67.698484373247,473.889390612729,1.0,Michael Harria,F,Canada,2000-02-05,Furniture,FurniStyle,45,True
63,2019,Jan,346,Product A,60,29.778771608888857,1786.7262965333314,1.0,Jessica Martinez,F,Mexico,1958-11-14,Sports Equipment,ActiveGear,60,True
68,2019,Jan,113,Product D,38,68.55388419785172,2605.047599518365,1.0,Sopyia Moore,M,USA,1972-05-21,Electronics,TechCorp,120,True
75,2019,Jan,375,Product E,51,89.74442274182576,4576.965559833114,1.0,Joseph Miller,M,Canada,2001-05-26,Home Appliances,HomeSolutions,85,False
77,2019,Jan,97,Product D,64,87.0959186818308,5574.138795637171,1.0,Joseph Miller,F,Mexico,1982-05-27,Electronics,TechCorp,120,True
78,2019,Jan,317,Product C,4,7.310016810988115,29.24006724395246,1.0,John Wilson,F,Mexico,1990-04-02,Furniture,FurniStyle,45,True
82,2019,Jan,302,Product E,95,96.543897823479,9171.670293230509,1.0,James Williams,M,Canada,1984-05-08,Home Appliances,HomeSolutions,85,False
85,2019,Feb,281,Product B,95,85.20024836899958,8094.02359505496,2.0,Hannah Williams,M,Canada,1971-05-23,Office Supplies,OfficePlus,200,False
89,2019,Feb,246,Product E,42,81.8893097704588,3439.3510103592694,2.0,Joshua Martin,F,Canada,1981-09-16,Home Appliances,HomeSolutions,85,False
90,2019,Feb,355,Product B,25,63.09380253223965,1577.3450633059913,2.0,Hannah Taylor,F,Mexico,1987-07-25,Office Supplies,OfficePlus,200,False
91,2019,Feb,316,Product B,7,52.64404799528396,368.5083359669877,2.0,Jane Garcia,M,Mexico,1969-02-06,Office Supplies,OfficePlus,200,False
93,2019,Feb,494,Product D,87,7.623593328001947,663.2526195361694,2.0,Hannah Jones,F,USA,1960-08-29,Electronics,TechCorp,120,True
97,2019,Feb,342,Product A,52,8.689299770795204,451.8435880813506,2.0,Sarah Johnson,M,Colombia,1972-03-19,Sports Equipment,ActiveGear,60,True
99,2019,Feb,264,Product E,60,25.5029976122001,1530.179856732006,2.0,Ashley Robinson,F,USA,1994-03-11,Home Appliances,HomeSolutions,85,False
101,2019,Feb,372,Product C,55,18.14354377969113,997.894907883012,2.0,Michael Johnson,F,Colombia,2004-05-28,Furniture,FurniStyle,45,True
105,2019,Feb,279,Product A,12,43.85052971935564,526.2063566322677,2.0,Matthew Thomas,M,Colombia,1984-04-25,Sports Equipment,ActiveGear,60,True
108,2019,Feb,487,Product E,22,74.35373507337276,1635.7821716142007,2.0,Ashley Jones,M,Canada,1994-04-24,Home Appliances,HomeSolutions,85,False
110,2019,Feb,485,Product A,29,16.02690084815704,464.7801245965542,2.0,Rachel Anderson,M,Mexico,1968-08-04,Sports Equipment,ActiveGear,60,True
111,2019,Feb,69,Product A,94,86.26875548104569,8109.263015218295,2.0,Asfley White,F,Canada,1975-07-28,Sports Equipment,ActiveGear,60,True
112,2019,Feb,500,Product E,76,6.630304674016273,503.90315522523673,2.0,Jane Jackson,F,Mexico,1963-09-20,Home Appliances,HomeSolutions,85,False
113,2019,Feb,474,Product E,39,37.89891050349308,1478.05750963623,2.0,Hannah Smith,M,Canada,1963-02-25,Home Appliances,HomeSolutions,85,False
115,2019,Feb,246,Product E,34,29.784894217462824,1012.686403393736,2.0,Joshua Martin,F,Canada,1981-09-16,Home Appliances,HomeSolutions,85,False
117,2019,Feb,257,Product E,4,63.50586061704181,254.02344246816725,2.0,John Martin,F,USA,1982-03-25,Home Appliances,HomeSolutions,85,False
126,2019,Feb,418,Product C,7,16.225658624057345,113.57961036840142,2.0,Hannah White,F,Canada,1969-07-18,Furniture,FurniStyle,45,True
127,2019,Feb,114,Product E,75,88.35984128507003,6626.9880963802525,2.0,Megan hhomas,F,Canada,1976-08-24,Home Appliances,HomeSolutions,85,False
128,2019,Feb,420,Product A,21,96.92015239442352,2035.3232002828936,2.0,Andrew Maxtinez,F,USA,1969-10-13,Sports Equipment,ActiveGear,60,True
130,2019,Feb,227,Product A,99,44.19867930658552,4375.669251351967,2.0,Chris Brown,M,USA,1968-06-07,Sports Equipment,ActiveGear,60,True
133,2019,Feb,13,Product A,99,14.796767539413596,1464.879986401946,2.0,James Robinson,F,Canada,1971-12-04,Sports Equipment,ActiveGear,60,True
134,2019,Feb,273,Product A,62,52.17331311489238,3234.745413123328,2.0,John Miller,M,Colombia,1967-07-16,Sports Equipment,ActiveGear,60,True
136,2019,Feb,100,Product D,61,91.01128775983004,5551.688553349633,2.0,Jane Wglson,F,USA,1966-12-27,Electronics,TechCorp,120,True
137,2019,Feb,76,Product A,71,95.89608408701336,6808.621970177948,2.0,Matthew vhomas,M,Colombia,1967-05-02,Sports Equipment,ActiveGear,60,True
142,2019,Feb,42,Product B,39,99.61346799288128,3884.9252517223695,2.0,Hannah Moore,F,Mexico,1983-10-12,Office Supplies,OfficePlus,200,False
143,2019,Feb,122,Product E,35,89.33189736203848,3126.6164076713467,2.0,Michael Miller,M,USA,1972-02-13,Home Appliances,HomeSolutions,85,False
144,2019,Feb,235,Product C,18,97.02193467754282,1746.3948241957708,2.0,David Wilson,M,Colombia,1970-02-03,Furniture,FurniStyle,45,True
145,2019,Feb,9,Product B,58,63.7307160150448,3696.381528872598,2.0,Daniel Wilfon,F,Colombia,1983-07-14,Office Supplies,OfficePlus,200,False
148,2019,Feb,165,Product C,8,40.55572559683143,324.44580477465144,2.0,Ashley Smith,F,Colombia,1986-06-26,Furniture,FurniStyle,45,True
150,2019,Feb,217,Product E,4,38.27073343652979,153.08293374611915,2.0,Andrew Thompson,M,Canada,1984-11-29,Home Appliances,HomeSolutions,85,False
151,2019,Feb,252,Product C,61,40.90882106161418,2495.438084758465,2.0,Hannah Taylor,M,Canada,1983-05-10,Furniture,FurniStyle,45,True
154,2019,Feb,220,Product B,20,16.287702045466833,325.75404090933665,2.0,Emily Jotes,F,USA,1961-07-22,Office Supplies,OfficePlus,200,False
157,2019,Feb,369,Product A,56,55.19516152323487,3090.9290453011527,2.0,John Brown,M,Canada,1963-03-18,Sports Equipment,ActiveGear,60,True
159,2019,Feb,173,Product E,47,89.65859580131675,4213.954002661887,2.0,Matthew Davis,F,USA,2003-01-05,Home Appliances,HomeSolutions,85,False
160,2019,Feb,374,Product E,75,92.31599295147264,6923.699471360449,2.0,Emily Marninez,F,USA,1993-09-21,Home Appliances,HomeSolutions,85,False
161,2019,Feb,164,Product C,19,97.0837408838144,1844.5910767924736,2.0,Sarah Moore,F,Canada,1959-10-28,Furniture,FurniStyle,45,True
163,2019,Feb,415,Product A,54,60.50985963269452,3267.532420165504,2.0,Joseph Anderson,F,Mexico,1989-06-26,Sports Equipment,ActiveGear,60,True
169,2019,Mar,411,Product A,73,34.405123547201136,2511.574018945683,3.0,Sophia Wilson,M,Canada,1990-03-16,Sports Equipment,ActiveGear,60,True
175,2019,Mar,177,Product C,85,76.20993849772685,6477.844772306782,3.0,Michael Jones,F,Mexico,1981-01-30,Furniture,FurniStyle,45,True
176,2019,Mar,217,Product C,27,59.062739570746025,1594.6939684101426,3.0,Andrew Thompson,M,Canada,1984-11-29,Furniture,FurniStyle,45,True
178,2019,Mar,405,Product D,81,55.762896127799,4516.794586351719,3.0,Sarah Thompson,M,USA,1964-11-09,Electronics,TechCorp,120,True
179,2019,Mar,133,Product C,53,60.58920557091984,3211.2278952587512,3.0,David Smith,F,Canada,1979-05-02,Furniture,FurniStyle,45,True
182,2019,Mar,1,Product C,45,62.5865902728336,2816.396562277512,3.0,Jamms Williams,M,Colombia,1963-09-04,Furniture,FurniStyle,45,True
184,2019,Mar,95,Product B,34,50.24001619495635,1708.1605506285157,3.0,Michael Williams,M,Mexico,1994-03-14,Office Supplies,OfficePlus,200,False
185,2019,Mar,259,Product C,50,85.95724253026131,4297.862126513066,3.0,David Johnson,M,Colombia,1972-12-19,Furniture,FurniStyle,45,True
188,2019,Mar,303,Product E,85,65.73932891255302,5587.842957567007,3.0,Jessica Jooes,F,Colombia,1993-12-30,Home Appliances,HomeSolutions,85,False
189,2019,Mar,75,Product C,38,63.64005264924274,2418.322000671224,3.0,Joshua Martinez,M,Mexico,1976-05-14,Furniture,FurniStyle,45,True
190,2019,Mar,226,Product B,98,65.48121055411684,6417.1586343034505,3.0,Ashley Williams,M,Colombia,1995-12-02,Office Supplies,OfficePlus,200,False
193,2019,Mar,335,Product D,30,64.09823652164798,1922.9470956494392,3.0,Emily Wilson,F,USA,1996-11-22,Electronics,TechCorp,120,True
196,2019,Mar,340,Product E,34,63.97654002009867,2175.2023606833545,3.0,James Martinez,M,Mexico,2002-06-29,Home Appliances,HomeSolutions,85,False
198,2019,Mar,371,Product A,23,17.164354700988383,394.7801581227328,3.0,Chris Garcia,M,USA,1961-07-16,Sports Equipment,ActiveGear,60,True
199,2019,Mar,95,Product C,16,65.8831007563054,1054.1296121008863,3.0,Michael Williams,M,Mexico,1994-03-14,Furniture,FurniStyle,45,True
202,2019,Mar,434,Product E,51,8.882518545315492,453.0084458110901,3.0,James Smith,M,Mexico,1966-02-25,Home Appliances,HomeSolutions,85,False
203,2019,Mar,5,Product B,92,38.02382537585493,3498.1919345786537,3.0,Andrew Miller,F,Colombia,1987-01-04,Office Supplies,OfficePlus,200,False
207,2019,Mar,282,Product A,47,64.65053700163624,3038.575239076903,3.0,Jane Garcia,M,Mexico,2003-12-06,Sports Equipment,ActiveGear,60,True
215,2019,Mar,227,Product C,15,14.962570820585686,224.4385623087853,3.0,Chris Brown,M,USA,1968-06-07,Furniture,FurniStyle,45,True
217,2019,Mar,441,Product A,86,36.112248456901895,3105.653367293563,3.0,Michael Davis,M,Mexico,1966-06-03,Sports Equipment,ActiveGear,60,True
218,2019,Mar,300,Product A,17,37.578052106434725,638.8268858093903,3.0,Andrew Thomas,F,Canada,1959-09-13,Sports Equipment,ActiveGear,60,True
219,2019,Mar,25,Product D,10,79.97126766769713,799.7126766769713,3.0,James Jones,F,USA,1974-05-11,Electronics,TechCorp,120,True
220,2019,Mar,109,Product B,86,60.74990621198352,5224.491934230582,3.0,Andrew Milaer,F,USA,1996-04-08,Office Supplies,OfficePlus,200,False
225,2019,Mar,70,Product D,94,22.723867284874046,2136.04352477816,3.0,James Davis,M,Canada,1969-10-20,Electronics,TechCorp,120,True
227,2019,Mar,40,Product E,36,99.73927580299748,3590.6139289079088,3.0,Michael Davis,F,Mexico,1986-12-01,Home Appliances,HomeSolutions,85,False
232,2019,Mar,133,Product B,68,45.41646166855959,3088.319393462052,3.0,David Smith,F,Canada,1979-05-02,Office Supplies,OfficePlus,200,False
235,2019,Mar,333,Product C,3,9.923235998130556,29.769707994391663,3.0,Jane Taylor,F,USA,2002-04-12,Furniture,FurniStyle,45,True
236,2019,Mar,178,Product B,5,11.020622194912937,55.10311097456467,3.0,Michael Miller,F,USA,1988-12-22,Office Supplies,OfficePlus,200,False
240,2019,Mar,38,Product C,94,15.136428760776424,1422.824303512984,3.0,Ashley Johnson,M,USA,1977-10-18,Furniture,FurniStyle,45,True
242,2019,Mar,376,Product C,9,24.47517195505754,220.27654759551783,3.0,Laura Miller,F,Colombia,1963-08-02,Furniture,FurniStyle,45,True
245,2019,Mar,267,Product A,14,80.95602743735398,1133.3843841229557,3.0,James Johnson,M,Canada,1968-01-23,Sports Equipment,ActiveGear,60,True
246,2019,Mar,291,Product E,37,82.3845984219813,3048.230141613308,3.0,Jessica Jackson,F,Canada,2000-10-03,Home Appliances,HomeSolutions,85,False
247,2019,Mar,379,Product B,62,39.088895991732734,2423.5115514874296,3.0,Andrew Thompson,F,Mexico,1972-05-21,Office Supplies,OfficePlus,200,False
248,2019,Mar,237,Product B,89,69.88329602462758,6219.613346191855,3.0,Chris Taylor,F,Canada,1991-10-10,Office Supplies,OfficePlus,200,False
250,2019,Apr,63,Product A,25,38.75943292274761,968.98582306869,4.0,Chris Thomas,M,Canada,1972-02-13,Sports Equipment,ActiveGear,60,True
252,2019,Apr,104,Product C,39,16.105313867294587,628.1072408244889,4.0,Chris Davis,F,USA,1961-11-18,Furniture,FurniStyle,45,True
254,2019,Apr,42,Product D,15,88.46976596047664,1327.0464894071497,4.0,Hannah Moore,F,Mexico,1983-10-12,Electronics,TechCorp,120,True
255,2019,Apr,289,Product D,94,89.91979538984097,8452.460766645052,4.0,Chris Anderson,F,Mexico,1984-10-15,Electronics,TechCorp,120,True
256,2019,Apr,420,Product E,38,76.47829640368816,2906.17526334015,4.0,Andrew Maxtinez,F,USA,1969-10-13,Home Appliances,HomeSolutions,85,False
257,2019,Apr,485,Product C,55,18.59715862710461,1022.8437244907536,4.0,Rachel Anderson,M,Mexico,1968-08-04,Furniture,FurniStyle,45,True
260,2019,Apr,303,Product D,88,62.37599784688869,5489.0878105262045,4.0,Jessica Jooes,F,Colombia,1993-12-30,Electronics,TechCorp,120,True
266,2019,Apr,23,Product B,46,63.42027499950217,2917.3326499771,4.0,Megan Davis,F,Canada,2001-10-21,Office Supplies,OfficePlus,200,False
269,2019,Apr,356,Product D,5,92.6374412118431,463.1872060592155,4.0,David Martin,M,Canada,1959-11-25,Electronics,TechCorp,120,True
273,2019,Apr,101,Product E,90,84.69531821236374,7622.578639112737,4.0,Daniel Miller,F,Mexico,1961-03-09,Home Appliances,HomeSolutions,85,False
280,2019,Apr,418,Product C,17,60.77148129297389,1033.115181980556,4.0,Hannah White,F,Canada,1969-07-18,Furniture,FurniStyle,45,True
283,2019,Apr,161,Product A,29,60.155893276414126,1744.5209050160097,4.0,James Jonfs,M,USA,1979-03-07,Sports Equipment,ActiveGear,60,True
285,2019,Apr,49,Product A,84,48.60395386161624,4082.732124375764,4.0,Daniel Martinez,M,USA,1958-04-26,Sports Equipment,ActiveGear,60,True
291,2019,Apr,371,Product B,66,55.77330966943845,3681.038438182938,4.0,Chris Garcia,M,USA,1961-07-16,Office Supplies,OfficePlus,200,False
298,2019,Apr,443,Product E,72,14.890315288534516,1072.1027007744851,4.0,Jane Joneh,M,Canada,1999-02-11,Home Appliances,HomeSolutions,85,False
299,2019,Apr,239,Product E,67,89.30874583878278,5983.685971198446,4.0,Rachel Mooje,F,Colombia,1981-08-04,Home Appliances,HomeSolutions,85,False
305,2019,Apr,403,Product D,29,45.0353323062873,1306.0246368823318,4.0,Joshua Jounson,M,Canada,1981-11-01,Electronics,TechCorp,120,True
307,2019,Apr,11,Product B,2,39.4906251585336,78.9812503170672,4.0,Andrew Harris,M,USA,1965-04-24,Office Supplies,OfficePlus,200,False
308,2019,Apr,119,Product D,20,64.29414624566773,1285.8829249133546,4.0,Sarah Garcia,M,Canada,1994-04-25,Electronics,TechCorp,120,True
309,2019,Apr,422,Product A,98,86.80146189759856,8506.54326596466,4.0,Chris Robinson,M,Colombia,1958-12-25,Sports Equipment,ActiveGear,60,True
312,2019,Apr,494,Product A,81,30.52434914156988,2472.47228046716,4.0,Hannah Jones,F,USA,1960-08-29,Sports Equipment,ActiveGear,60,True
314,2019,Apr,246,Product C,4,17.566240056906388,70.26496022762555,4.0,Joshua Martin,F,Canada,1981-09-16,Furniture,FurniStyle,45,True
322,2019,Apr,173,Product A,26,43.41624264715731,1128.8223088260902,4.0,Matthew Davis,F,USA,2003-01-05,Sports Equipment,ActiveGear,60,True
323,2019,Apr,190,Product B,46,9.46176684363023,435.2412748069905,4.0,Jane Wilson,F,Colombia,1993-03-22,Office Supplies,OfficePlus,200,False
327,2019,Apr,295,Product C,54,50.22478820891447,2712.1385632813813,4.0,Joseph Jones,F,Colombia,1962-12-12,Furniture,FurniStyle,45,True
330,2019,Apr,491,Product A,62,95.7474497087305,5936.341881941291,4.0,Daniel Taylor,M,Mexico,1966-10-26,Sports Equipment,ActiveGear,60,True
333,2019,May,217,Product E,43,61.837175535474685,2658.998548025412,5.0,Andrew Thompson,M,Canada,1984-11-29,Home Appliances,HomeSolutions,85,False
334,2019,May,25,Product C,3,12.387707687500924,37.16312306250277,5.0,James Jones,F,USA,1974-05-11,Furniture,FurniStyle,45,True
337,2019,May,443,Product C,49,17.997769937301335,881.8907269277654,5.0,Jane Joneh,M,Canada,1999-02-11,Furniture,FurniStyle,45,True
341,2019,May,25,Product B,89,66.43316731613052,5912.551891135617,5.0,James Jones,F,USA,1974-05-11,Office Supplies,OfficePlus,200,False
343,2019,May,266,Product A,23,57.80162523653207,1329.4373804402376,5.0,Daniel Smith,F,USA,1966-04-05,Sports Equipment,ActiveGear,60,True
345,2019,May,117,Product A,48,15.951792018492016,765.6860168876168,5.0,Joseph Smith,F,Mexico,1981-02-15,Sports Equipment,ActiveGear,60,True
346,2019,May,315,Product E,82,75.78113207142094,6214.052829856517,5.0,Joshua Jones,M,USA,1979-02-09,Home Appliances,HomeSolutions,85,False
351,2019,May,183,Product D,39,34.95258209390798,1363.1507016624112,5.0,Andrew Anderson,F,Mexico,1969-12-21,Electronics,TechCorp,120,True
355,2019,May,170,Product B,30,5.022564739709035,150.67694219127105,5.0,Matthew Martin,F,Colombia,1981-08-29,Office Supplies,OfficePlus,200,False
358,2019,May,29,Product A,93,8.571693454594783,797.1674912773149,5.0,Ashley Johnson,M,USA,1965-01-20,Sports Equipment,ActiveGear,60,True
360,2019,May,239,Product A,10,13.711436835585864,137.11436835585863,5.0,Rachel Mooje,F,Colombia,1981-08-04,Sports Equipment,ActiveGear,60,True
361,2019,May,359,Product D,5,74.56582168254128,372.8291084127064,5.0,Hannah Wilson,M,Canada,1981-12-09,Electronics,TechCorp,120,True
362,2019,May,177,Product C,45,38.68910497587377,1741.0097239143197,5.0,Michael Jones,F,Mexico,1981-01-30,Furniture,FurniStyle,45,True
365,2019,May,494,Product A,15,41.51103148016976,622.6654722025464,5.0,Hannah Jones,F,USA,1960-08-29,Sports Equipment,ActiveGear,60,True
366,2019,May,344,Product D,12,95.85949126814538,1150.3138952177446,5.0,Rachel Brown,F,Colombia,1993-11-27,Electronics,TechCorp,120,True
370,2019,May,148,Product E,63,26.904073601476806,1694.9566368930389,5.0,Michaol Thomas,F,Colombia,1982-11-09,Home Appliances,HomeSolutions,85,False
372,2019,May,313,Product B,41,22.71163490370418,931.1770310518714,5.0,Laura White,F,Colombia,1980-06-24,Office Supplies,OfficePlus,200,False
374,2019,May,215,Product A,9,93.13646690354524,838.228202131907,5.0,James Thompxon,M,USA,1979-05-08,Sports Equipment,ActiveGear,60,True
380,2019,May,440,Product C,92,50.284298691385,4626.15547960742,5.0,HannahlDavis,M,USA,1991-11-06,Furniture,FurniStyle,45,True
383,2019,May,226,Product D,79,5.482803282712466,433.1414593342848,5.0,Ashley Williams,M,Colombia,1995-12-02,Electronics,TechCorp,120,True
384,2019,May,251,Product E,48,52.10819483248323,2501.193351959195,5.0,Emily Smith,M,Colombia,1984-07-10,Home Appliances,HomeSolutions,85,False
386,2019,May,284,Product E,77,85.86465683463302,6611.578576266743,5.0,Ashley Thompson,M,Colombia,2004-05-08,Home Appliances,HomeSolutions,85,False
389,2019,May,354,Product C,77,30.367685666095024,2338.311796289317,5.0,John Anderson,M,Colombia,1996-03-13,Furniture,FurniStyle,45,True
391,2019,May,353,Product C,59,20.23801000635685,1194.042590375054,5.0,Michael Garcia,M,Mexico,2004-04-25,Furniture,FurniStyle,45,True
392,2019,May,269,Product C,45,71.25978885858194,3206.6904986361874,5.0,James Miller,F,USA,1991-04-09,Furniture,FurniStyle,45,True
394,2019,May,188,Product E,45,87.82513513579704,3952.131081110867,5.0,Rachel Smith,M,Colombia,2001-10-27,Home Appliances,HomeSolutions,85,False
398,2019,May,13,Product C,17,16.00516639412448,272.0878287001162,5.0,James Robinson,F,Canada,1971-12-04,Furniture,FurniStyle,45,True
