id,Year,Month,Customer,Product,Units_Sold,Price_per_Unit,Revenue,Customer_Name,Month_Num
2,2019,Jan,Customer 72,Product E,21,19.82177084203147,416.25718768266086,Joseph Wilson,1.0
3,2019,Jan,Customer 467,Product C,75,87.28673384861884,6546.505038646413,Hannah Harris,1.0
9,2019,Jan,Customer 271,Product C,55,98.40693415164488,5412.3813783404685,David Wiloiams,1.0
10,2019,Jan,Customer 131,Product E,51,69.62921616583907,3551.0900244577924,Matthew White,1.0
12,2019,Jan,Customer 14,Product B,9,6.5167939609203485,58.65114564828313,Jane White,1.0
15,2019,Jan,Customer 206,Product A,36,22.31242833986592,803.2474202351732,Daniel Taylor,1.0
18,2019,Jan,Customer 44,Product B,74,90.00859829062664,6660.636273506371,Joseph Robinson,1.0
21,2019,Jan,Customer 280,Product B,89,31.688778420301173,2820.3012794068045,Joshua Brown,1.0
24,2019,Jan,Customer 344,Product A,8,5.524601126742228,44.19680901393782,xane Smith,1.0
25,2019,Jan,Customer 139,Product C,81,72.57748551112175,5878.776326400862,Hannah Jackson,1.0
30,2019,Jan,Customer 214,Product C,35,49.86041789038519,1745.1146261634815,Emily Anderson,1.0
31,2019,Jan,Customer 101,Product C,1,73.56430451066295,73.56430451066295,Daniel Miller,1.0
34,2019,Jan,Customer 352,Product A,52,58.511179337756445,3042.581325563335,John Martin,1.0
35,2019,Jan,Customer 388,Product E,23,62.41965103139264,1435.6519737220308,Megan Jackson,1.0
36,2019,Jan,Customer 143,Product C,29,26.73582572170413,775.3389459294199,John Taylor,1.0
38,2019,Jan,Customer 170,Product E,62,65.17335686849023,4040.7481258463945,Matthew Martin,1.0
39,2019,Jan,Customer 134,Product D,28,25.75184153559919,721.0515629967773,Sophia White,1.0
40,2019,Jan,Customer 340,Product C,92,38.84829461731262,3574.043104792761,James Martinez,1.0
47,2019,Jan,Customer 295,Product B,3,33.58343943259312,100.75031829777936,Joseph Jones,1.0
50,2019,Jan,Customer 224,Product A,1,27.75837961336238,27.75837961336238,Joseph Johnson,1.0
51,2019,Jan,Customer 130,Product E,44,47.53940063444371,2091.733627915524,Jane Miller,1.0
52,2019,Jan,Customer 198,Product D,55,77.35386345622817,4254.462490092549,Emily Jaikson,1.0
53,2019,Jan,Customer 123,Product A,38,39.93939760832906,1517.6971091165042,Sophia Anderson,1.0
57,2019,Jan,Customer 443,Product D,19,72.55920558161169,1378.6249060506225,Rachpl Robinson,1.0
58,2019,Jan,Customer 147,Product D,96,14.136772353684972,1357.1301459537572,David Martin,1.0
60,2019,Jan,Customer 338,Product A,11,37.40130334977456,411.4143368475201,sohn Jackson,1.0
62,2019,Jan,Customer 298,Product C,7,67.698484373247,473.889390612729,Michael Harris,1.0
63,2019,Jan,Customer 346,Product A,60,29.778771608888857,1786.7262965333314,Rachel Anderson,1.0
65,2019,Jan,Customer 9,Product A,99,71.53399384741327,7081.865390893914,Daniel Wilson,1.0
68,2019,Jan,Customer 113,Product D,38,68.55388419785172,2605.047599518365,Ashley Miller,1.0
69,2019,Jan,Customer 254,Product C,89,68.0326680652653,6054.907457808612,Daniel Thompson,1.0
70,2019,Jan,Customer 349,Product B,82,51.133306590691525,4192.931140436705,Michael Wilbon,1.0
76,2019,Jan,Customer 283,Product C,98,38.25744873099419,3749.229975637431,Joshfa Wilson,1.0
77,2019,Jan,Customer 97,Product D,64,87.0959186818308,5574.138795637171,Joseph Miller,1.0
78,2019,Jan,Customer 317,Product C,4,7.310016810988115,29.24006724395246,John Wilson,1.0
80,2019,Jan,Customer 477,Product E,6,40.16507652426722,240.99045914560327,Sophia Taylor,1.0
82,2019,Jan,Customer 302,Product E,95,96.543897823479,9171.670293230509,Emily Jones,1.0
83,2019,Jan,Customer 481,Product D,63,34.041216832282274,2144.596660433783,Daniel Harris,1.0
84,2019,Feb,Customer 416,Product A,67,21.101810935178783,1413.8213326569787,Andrei Miller,2.0
86,2019,Feb,Customer 323,Product B,32,68.7586340982848,2200.2762911451136,Sophia Moore,2.0
89,2019,Feb,Customer 246,Product E,42,81.8893097704588,3439.3510103592694,Joshua Martin,2.0
90,2019,Feb,Customer 355,Product B,25,63.09380253223965,1577.3450633059913,Hannah Taylor,2.0
92,2019,Feb,Customer 173,Product D,65,11.739387114993129,763.0601624745534,Matthew Davis,2.0
94,2019,Feb,Customer 354,Product B,32,59.93661339463653,1917.971628628369,John Anderson,2.0
98,2019,Feb,Customer 271,Product C,60,36.031867970623885,2161.912078237433,Jessica Robinson,2.0
99,2019,Feb,Customer 264,Product E,60,25.5029976122001,1530.179856732006,Ashley Robinson,2.0
103,2019,Feb,Customer 120,Product C,92,75.68405108491596,6962.932699812269,Abdrew Smith,2.0
104,2019,Feb,Customer 346,Product E,90,96.45159939440288,8680.643945496258,doseph Robinson,2.0
106,2019,Feb,Customer 58,Product B,1,47.02346182445492,47.02346182445492,Andrew Brown,2.0
107,2019,Feb,Customer 96,Product A,1,95.71220166300344,95.71220166300344,David Wieson,2.0
108,2019,Feb,Customer 487,Product E,22,74.35373507337276,1635.7821716142007,Ashley Jones,2.0
109,2019,Feb,Customer 451,Product D,26,38.81740447186985,1009.252516268616,Ashley Taylor,2.0
110,2019,Feb,Customer 485,Product A,29,16.02690084815704,464.7801245965542,Rachel Anderson,2.0
111,2019,Feb,Customer 69,Product A,94,86.26875548104569,8109.263015218295,Ashley White,2.0
112,2019,Feb,Customer 500,Product E,76,6.630304674016273,503.90315522523673,Jane Jackson,2.0
113,2019,Feb,Customer 474,Product E,39,37.89891050349308,1478.05750963623,Michael Garcia,2.0
125,2019,Feb,Customer 90,Product E,26,69.75329855241503,1813.5857623627908,Joshua Davis,2.0
128,2019,Feb,Customer 420,Product A,21,96.92015239442352,2035.3232002828936,Andrew Martinez,2.0
134,2019,Feb,Customer 273,Product A,62,52.17331311489238,3234.745413123328,John Miller,2.0
136,2019,Feb,Customer 100,Product D,61,91.01128775983004,5551.688553349633,Sarah Johnson,2.0
140,2019,Feb,Customer 25,Product D,85,76.47558029657961,6500.4243252092665,James Jones,2.0
143,2019,Feb,Customer 122,Product E,35,89.33189736203848,3126.6164076713467,James Brown,2.0
146,2019,Feb,Customer 253,Product E,40,11.912485604598384,476.4994241839354,Mfchael Wilson,2.0
147,2019,Feb,Customer 434,Product C,66,12.728134160980478,840.0568546247115,James Smith,2.0
151,2019,Feb,Customer 252,Product C,61,40.90882106161418,2495.438084758465,Hannah Taylor,2.0
152,2019,Feb,Customer 167,Product C,74,91.10366658399992,6741.671327215994,Jane Jackson,2.0
154,2019,Feb,Customer 220,Product B,20,16.287702045466833,325.75404090933665,Emily Jones,2.0
155,2019,Feb,Customer 317,Product A,39,75.87426353021522,2959.0962776783936,James White,2.0
159,2019,Feb,Customer 173,Product E,47,89.65859580131675,4213.954002661887,Joshua Martinez,2.0
160,2019,Feb,Customer 374,Product E,75,92.31599295147264,6923.699471360449,Emily Martinez,2.0
161,2019,Feb,Customer 164,Product C,19,97.0837408838144,1844.5910767924736,Jessica Harris,2.0
162,2019,Feb,Customer 402,Product A,49,71.09612545353863,3483.710147223393,Emily Smith,2.0
164,2019,Feb,Customer 144,Product A,75,31.69150301126188,2376.862725844641,Joseph Smith,2.0
172,2019,Mar,Customer 256,Product E,47,92.32177242437815,4339.123303945773,Laura Anderson,3.0
